index,Drug_Name,Reason,Description,Description_Length
2511,glenflu 150mg tablet 1's,Fungal,"treats tinea cruris (jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)",28
2512,glocan 1% cream 30gm,Fungal,works by slowing the growth of fungi that cause infection,10
2513,glospor 100mg capsule 6's,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis),8
2514,gracederm cream 15gm,Fungal,it removes bacteria,3
2515,gris odt 250mg tablet 7's,Fungal,it reduces growth of fungus,5
2516,gris od 375mg tablet 30'sgris od 250mg tablet 10's,Fungal,it removes moisture,3
2517,gris odt cream 10gm,Fungal,treat associated penile thrush (candidal balanitis),6
2518,griseofulvin (torque) 250mg tablet 10's,Fungal,"treats tinea cruris (jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)",28
2519,grisoral 250mg tablet 10's,Fungal,works by slowing the growth of fungi that cause infection,10
2520,grisovin fp 250mg tablet 10's,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis),8
2521,grisovin fp 500mg tablet 10'sgrisovin fp 250mg tablet 40's,Fungal,it removes bacteria,3
2522,guficap 70mg injection 1's,Fungal,it reduces growth of fungus,5
2523,gynodaktarin gel 20gm,Fungal,it removes moisture,3
2524,hairshine ktz soap 75gm,Fungal,it removes bacteria,3
2525,halotop m cream 10gm,Fungal,it reduces growth of fungus,5
2526,hhderm cream 10gm,Fungal,it removes moisture,3
2527,hhzole cream 10gm,Fungal,treat associated penile thrush (candidal balanitis),6
2528,hifen 250mg tablet 4'shifen 1% lotion 15ml,Fungal,"treats tinea cruris (jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)",28
2529,hilzol 150mg tablet 1's,Fungal,works by slowing the growth of fungi that cause infection,10
2530,hospicasp 70mg injection 1'shospicasp 50mg injection 1's,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis),8
2531,hospicin b 50mg injection 1's,Fungal,it removes bacteria,3
2532,hyphoral tablet 10's,Fungal,it reduces growth of fungus,5
2533,hyphoral 2% lotion 50ml,Fungal,it removes moisture,3
2534,i tyza 200mg capsule 7'si tyza capsule 7's,Fungal,treat associated penile thrush (candidal balanitis),6
2535,i win 200mg capsule 7'si win 100mg capsule 7's,Fungal,"treats tinea cruris (jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)",28
2536,ibicasp 50mg injection 1's,Fungal,works by slowing the growth of fungi that cause infection,10
2537,ibilul lotion 20mlibilul cream 30gm,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis),8
2538,ibimica 50mg injection 1's,Fungal,it removes bacteria,3
2539,ibinator 200mg capsule 10'sibinator 100mg capsule 10's,Fungal,it reduces growth of fungus,5
2540,ibisert cream 30gm,Fungal,it removes moisture,3
2541,ibitra 200mg capsule 10'sibitra 100mg capsule 10's,Fungal,treat associated penile thrush (candidal balanitis),6
2542,icon 150mg tableticon 150mg capsule 1's,Fungal,"treats tinea cruris (jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)",28
2543,ifin 500mg tablet 7'sifin cream 10gmifin tablet 7'sifin spray 50ml,Fungal,works by slowing the growth of fungi that cause infection,10
2544,ikon 150mg capsule 1's,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis),8
2545,ilastar 100mg capsule 4'silastar 200mg capsule 4's,Fungal,it removes bacteria,3
2546,imidil b 0.025/1% cream 15gm,Fungal,it reduces growth of fungus,5
2547,imidil dust powder 100gm,Fungal,it removes moisture,3
2548,imidil skin cream 15gm,Fungal,treat associated penile thrush (candidal balanitis),6
2549,imograf ointment 20gm,Fungal,"treats tinea cruris (jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)",28
2550,imograf forte lotion 20ml,Fungal,works by slowing the growth of fungi that cause infection,10
2551,indizole 200mg capsule 4'sindizole 100mg capsule 7's,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis),8
2552,intawin 200mg tablet 10'sintawin 150mg tablet 1'sintawin 400mg tablet 1's,Fungal,it removes bacteria,3
2553,intranil 100mg capsule 6's,Fungal,it reduces growth of fungus,5
2554,iphytoral 200mg capsule 10'siphytoral 100mg capsule 10's,Fungal,it removes moisture,3
2555,it mac 100mg capsule 10'sit mac 400mg tablet 4'sit mac 100mg capsule 4'sit mac 200mg capsule 8's,Fungal,it removes bacteria,3
2556,itaphyte 100mg capsule 10'sitaphyte 200mg capsule 7'sitaphyte 200mg capsule 10's,Fungal,it reduces growth of fungus,5
2557,itapro 200mg capsule 4'sitapro 200mg tablet 10'sitapro 200mg tablet 7'sitapro 100mg capsule 7'sitapro 100mg capsule 4's,Fungal,it removes moisture,3
2558,itapro sr 400mg tablet 4's,Fungal,treat associated penile thrush (candidal balanitis),6
2559,itaspor 2% powder 50gmitaspor 100mg injection 20mlitaspor sr 400mg tablet 4'sitaspor 100mg capsule 7'sitaspor capsule 4'sitaspor 200mg capsule 7'sitaspor 200mg capsule 8's,Fungal,"treats tinea cruris (jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)",28
2560,itazol 100mg capsule 8's,Fungal,works by slowing the growth of fungi that cause infection,10
2561,itbor 200mg capsule 7's,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis),8
2562,itchguard cream 5gm,Fungal,it removes bacteria,3
2563,itchmosol cream 15gmitchmosol cream 4gm,Fungal,it reduces growth of fungus,5
2564,itconz 200mg capsule 4'sitconz 100mg capsule 4's,Fungal,it removes moisture,3
2565,itfine 200mg capsule 4'sitfine 100mg capsule 4's,Fungal,treat associated penile thrush (candidal balanitis),6
2566,itgal 200mg capsule 4'sitgal 100mg capsule 4's,Fungal,"treats tinea cruris (jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)",28
2567,itkon 200mg capsule 10's,Fungal,works by slowing the growth of fungi that cause infection,10
2568,itopsy 200mg capsule 7'sitopsy 200mg capsule 4'sitopsy 100mg capsule 4'sitopsy 100mg capsule 7's,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis),8
2569,itpro 100mg capsule 4's,Fungal,it removes bacteria,3
2570,itra rd 100mg capsule 10's,Fungal,it reduces growth of fungus,5
2571,itra plus 200mg tablet 10's,Fungal,it removes moisture,3
2572,itra rd 200mg capsule 10's,Fungal,treat associated penile thrush (candidal balanitis),6
2573,itrabest capsule 10's,Fungal,"treats tinea cruris (jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)",28
2574,itrabest ds capsule 10's,Fungal,works by slowing the growth of fungi that cause infection,10
2575,itrabond 100mg capsule 7'sitrabond 200mg tablet 4'sitrabond 200mg capsule 7's,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis),8
2576,itrabond sr 200mg tablet 4's,Fungal,it removes bacteria,3
2577,itrabull 100mg capsule 10'sitrabull 200mg capsule 10's,Fungal,it reduces growth of fungus,5
2578,itracan 100mg capsule 4's,Fungal,it removes moisture,3
2579,itracap 200mg capsule 4's,Fungal,treat associated penile thrush (candidal balanitis),6
2580,itrachem 100mg capsule 4'sitrachem 200mg capsule 4's,Fungal,"treats tinea cruris (jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)",28
2581,itracip 200mg capsule 4'sitracip 100mg capsule 4's,Fungal,works by slowing the growth of fungi that cause infection,10
2582,itraclar 100mg capsule 4'sitraclar 200mg capsule 10's,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis),8
2583,itracoe gel 15gmitracoe 200mg capsule 10'sitracoe 100mg capsule 4'sitracoe dusting powder 75gmitracoe 200mg capsule 4's,Fungal,it removes bacteria,3
2584,itracoe sr 400mg tablet 4's,Fungal,it reduces growth of fungus,5
2585,itradila 100mg capsule 4'sitradila 200mg tablet 4'sitradila 200mg capsule 10'sitradila 200mg capsule 4'sitradila 400mg tablet 4's,Fungal,it removes moisture,3
2586,itradus 200mg capsule 4's,Fungal,it removes bacteria,3
2587,itrafix 200mg capsule 4'sitrafix 100mg capsule 4's,Fungal,it reduces growth of fungus,5
2588,itrafung 100mg capsule 10'sitrafung 200mg capsule 2's,Fungal,it removes moisture,3
2589,itragen 200mg capsule 8'sitragen 100mg capsule 4'sitragen 200mg capsule 4's,Fungal,treat associated penile thrush (candidal balanitis),6
2590,itragreat 200mg capsule 7'sitragreat 100mg capsule 7'sitragreat 400mg capsule 4's,Fungal,"treats tinea cruris (jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)",28
2591,itral capsule 4's,Fungal,works by slowing the growth of fungi that cause infection,10
2592,itralase 200mg capsule 7'sitralase 100mg capsule 15's,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis),8
2593,itralent 100mg capsule 10'sitralent 200mg capsule 10's,Fungal,it removes bacteria,3
2594,itralin 100mg capsule 4'sitralin 100mg capsule 10'sitralin 200mg capsule 4'sitralin 200mg capsule 10's,Fungal,it reduces growth of fungus,5
2595,itraliz 100mg capsule 4'sitraliz 100mg capsule 10'sitraliz 200mg capsule 4's,Fungal,it removes moisture,3
2596,itranext 200mg tablet 10's,Fungal,treat associated penile thrush (candidal balanitis),6
2597,itranox 200mg capsule 4'sitranox 200mg capsule 7'sitranox 100mg capsule 7'sitranox 100mg capsule 4's,Fungal,"treats tinea cruris (jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)",28
2598,itrapex 100mg capsule 10'sitrapex 200mg capsule 10's,Fungal,works by slowing the growth of fungi that cause infection,10
2599,itrasafe capsule 4's,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis),8
2600,itraset 200mg tablet 10's,Fungal,it removes bacteria,3
2601,itrasig 100mg capsule 4's,Fungal,it reduces growth of fungus,5
2602,itrasil 100mg capsule 10'sitrasil 200mg capsule 10's,Fungal,it removes moisture,3
2603,itrason 200mg capsule 4'sitrason 100mg capsule 4's,Fungal,treat associated penile thrush (candidal balanitis),6
2604,itrastar 200mg capsule 10'sitrastar 100mg capsule 10's,Fungal,"treats tinea cruris (jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)",28
2605,itrasys 100mg capsule 4'sitrasys 200mg capsule 4'sitrasys 400mg capsule 7's,Fungal,works by slowing the growth of fungi that cause infection,10
2606,itratop 200mg capsule 10's,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis),8
2607,itratuf oral solution 100mlitratuf 200mg capsule 7'sitratuf 100mg capsule 7'sitratuf 100mg capsule 10's,Fungal,it removes bacteria,3
2608,itrawok 100mg capsule 4'sitrawok 200mg capsule 4's,Fungal,it reduces growth of fungus,5
2609,itrazan 100mg capsule 4'sitrazan 200mg capsule 4's,Fungal,it removes moisture,3
2610,itrazole 200mg capsule 4'sitrazole 100mg capsule 4's,Fungal,treat associated penile thrush (candidal balanitis),6
2611,itreez 200mg capsule 4's,Fungal,"treats tinea cruris (jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)",28
2612,itrenza 200mg capsule 3's,Fungal,works by slowing the growth of fungi that cause infection,10
2613,itriben 200mg capsule 10'sitriben 100mg capsule 10's,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis),8
2614,itromed 200mg capsule 4'sitromed 100mg capsule 4's,Fungal,it removes bacteria,3
2615,itrostred 200mg capsule 4'sitrostred dusting powder 75gmitrostred 100mg capsule 4's,Fungal,it reduces growth of fungus,5
2616,itsbest 100mg capsule 10'sitsbest 100mg capsule 4'sitsbest 200mg capsule 4'sitsbest 200mg capsule 10'sitsbest 1% powder 100gm,Fungal,it removes moisture,3
2617,itzhh 200mg capsule 10'sitzhh 100mg capsule 4'sitzhh 100mg capsule 10's,Fungal,it removes bacteria,3
2618,iveomezoled 200mg injection 500ml,Fungal,it reduces growth of fungus,5
2619,iycotic cream 20gmiycotic tablet 10'siycotic lotion 100mliycotic shampoo 60ml,Fungal,it removes bacteria,3
2620,iycotizol 100mg capsule 10's,Fungal,it reduces growth of fungus,5
2621,jucan 150mg tablet,Fungal,it removes moisture,3
2622,k terbimax 250mg tablet 10's,Fungal,treat associated penile thrush (candidal balanitis),6
2623,k2 lotion 50ml,Fungal,"treats tinea cruris (jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)",28
2624,kabifungin 70mg injection 1mlkabifungin 50mg injection 1ml,Fungal,works by slowing the growth of fungi that cause infection,10
2625,kaifluk 150mg tabletkaifluk 400mg tablet 4's,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis),8
2626,kaitlyn soap 75gm,Fungal,it removes bacteria,3
2627,kansel dusting powder 100gm,Fungal,it reduces growth of fungus,5
2628,kansel b cream 20gmkansel b lotion 30mlkansel b lotion 15ml,Fungal,it removes moisture,3
2629,kansel ds lotion 30mlkansel ds gel 30gm,Fungal,treat associated penile thrush (candidal balanitis),6
2630,kansel it 100mg capsule 10'skansel it 200mg capsule 10's,Fungal,"treats tinea cruris (jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)",28
2631,keloc cream 15gm,Fungal,works by slowing the growth of fungi that cause infection,10
2632,kenozole 2% shampoo 60mlkenozole cream 30gm,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis),8
2633,kenozole b cream 15gm,Fungal,it removes bacteria,3
2634,kentruff stayon lotion 50ml,Fungal,it reduces growth of fungus,5
2635,kenz lotion 60mlkenz soap 75gmkenz cream 30gmkenz 200mg tablet 10's,Fungal,it removes moisture,3
2636,kenz anti lice solution 55ml,Fungal,treat associated penile thrush (candidal balanitis),6
2637,ketafung 2% cream 100gmketafung tablet 10'sketafung bar 75gmketafung 2% lotion 50mlketafung cream 20gm,Fungal,"treats tinea cruris (jock itch), tinea inguinalis, tinea corporis (ringworm), tinea manuum and pityriasis versicolor (fungal infection that causes small patches of skin to become scaly and discoloured)",28
2638,keto 2% lotion 50mlketo 200mg tablet 10'sketo gold premium soap 100gmketo lotion 15mlketo cream 30gmketo cream 15gmketo az lotion 75mlketo soap 50gmketo dusting powder 50gmketo b lotion 15mlketo soap 100gmketo lotion 50ml,Fungal,works by slowing the growth of fungi that cause infection,10
2639,keto b cream 10gm,Fungal,treats vaginal infection caused by fungi (vaginal candidiasis),8
2640,keto gold soap 100gm,Fungal,it removes bacteria,3
2641,ketocip tablet 10's,Fungal,it reduces growth of fungus,5
2642,ketocure shampoo 100ml,Fungal,it removes moisture,3
2643,ketofine cream 15gmketofine cream 30gmketofine soap 75gm,Fungal,treat associated penile thrush (candidal balanitis),6
